Date,Open,High,Low,Close,Volume,Adj Close
2014-03-07,7.08153,7.08153,7.08153,7.08153,000,7.08153
2014-03-06,7.0407,7.0407,7.0407,7.0407,000,7.0407
2014-03-05,7.04998,7.04998,7.04998,7.04998,000,7.04998
2014-03-04,6.99841,6.99841,6.99841,6.99841,000,6.99841
2014-03-03,7.0457,7.0457,7.0457,7.0457,000,7.0457
2014-02-28,7.07142,7.07142,7.07142,7.07142,000,7.07142
2014-02-27,7.04825,7.04825,7.04825,7.04825,000,7.04825
2014-02-26,7.1165,7.1165,7.1165,7.1165,000,7.1165
2014-02-24,7.19874,7.19874,7.19874,7.19874,000,7.19874
2014-02-21,7.1802,7.1802,7.1802,7.1802,000,7.1802
2014-02-20,7.22252,7.22252,7.22252,7.22252,000,7.22252
2014-02-19,7.29595,7.29595,7.29595,7.29595,000,7.29595
2014-02-18,7.33323,7.33323,7.33323,7.33323,000,7.33323
2014-02-17,7.31867,7.31867,7.31867,7.31867,000,7.31867
2014-02-14,7.23538,7.23538,7.23538,7.23538,000,7.23538
2014-02-13,7.26193,7.26193,7.26193,7.26193,000,7.26193
2014-02-12,7.25128,7.25128,7.25128,7.25128,000,7.25128
2014-02-11,7.19726,7.19726,7.19726,7.19726,000,7.19726
2014-02-10,7.22943,7.22943,7.22943,7.22943,000,7.22943
2014-02-07,7.26391,7.26391,7.26391,7.26391,000,7.26391
2014-02-06,7.22604,7.22604,7.22604,7.22604,000,7.22604
2014-02-05,7.24656,7.24656,7.24656,7.24656,000,7.24656
2014-02-04,7.30906,7.30906,7.30906,7.30906,000,7.30906
2014-01-31,7.29626,7.29626,7.29626,7.29626,000,7.29626
2014-01-30,7.26459,7.26459,7.26459,7.26459,000,7.26459
2014-01-29,7.27181,7.27181,7.27181,7.27181,000,7.27181
2014-01-28,7.27382,7.27382,7.27382,7.27382,000,7.27382
2014-01-27,7.28732,7.28732,7.28732,7.28732,000,7.28732
